Episode,Tellability,#Steps,#FunctionalUnits,#PolyvalentVertices,Suspense,Denied Request,Nested Goal,Retaliation,Intentional Problem Resolution,Fortuitous Problem Resolution,Success born of Adversity,Fleeting Success,Starting Over,Giving Up,Sacrifice,Honored Request,isSick-EmptyHappening,isSick-StormHappening,isSick-FoodStolenHappening,isSick-FoodPoisoningHappening,isSick-LooseFriendHappening,isSick-HomesickHappening,isSick-FireHappening,isSick-ShipRescueHappening,isAlive-EmptyHappening,isAlive-StormHappening,isAlive-FoodStolenHappening,isAlive-FoodPoisoningHappening,isAlive-LooseFriendHappening,isAlive-HomesickHappening,isAlive-FireHappening,isAlive-ShipRescueHappening,onCruise-EmptyHappening,onCruise-StormHappening,onCruise-FoodStolenHappening,onCruise-FoodPoisoningHappening,onCruise-LooseFriendHappening,onCruise-HomesickHappening,onCruise-FireHappening,onCruise-ShipRescueHappening,hasAtLeastOneFriend-EmptyHappening,hasAtLeastOneFriend-StormHappening,hasAtLeastOneFriend-FoodStolenHappening,hasAtLeastOneFriend-FoodPoisoningHappening,hasAtLeastOneFriend-LooseFriendHappening,hasAtLeastOneFriend-HomesickHappening,hasAtLeastOneFriend-FireHappening,hasAtLeastOneFriend-ShipRescueHappening,ownsFood-EmptyHappening,ownsFood-StormHappening,ownsFood-FoodStolenHappening,ownsFood-FoodPoisoningHappening,ownsFood-LooseFriendHappening,ownsFood-HomesickHappening,ownsFood-FireHappening,ownsFood-ShipRescueHappening,hasHut-EmptyHappening,hasHut-StormHappening,hasHut-FoodStolenHappening,hasHut-FoodPoisoningHappening,hasHut-LooseFriendHappening,hasHut-HomesickHappening,hasHut-FireHappening,hasHut-ShipRescueHappening,isBurning-EmptyHappening,isBurning-StormHappening,isBurning-FoodStolenHappening,isBurning-FoodPoisoningHappening,isBurning-LooseFriendHappening,isBurning-HomesickHappening,isBurning-FireHappening,isBurning-ShipRescueHappening,isHomesick-EmptyHappening,isHomesick-StormHappening,isHomesick-FoodStolenHappening,isHomesick-FoodPoisoningHappening,isHomesick-LooseFriendHappening,isHomesick-HomesickHappening,isHomesick-FireHappening,isHomesick-ShipRescueHappening,isOnIsland-EmptyHappening,isOnIsland-StormHappening,isOnIsland-FoodStolenHappening,isOnIsland-FoodPoisoningHappening,isOnIsland-LooseFriendHappening,isOnIsland-HomesickHappening,isOnIsland-FireHappening,isOnIsland-ShipRescueHappening,isHungry-EmptyHappening,isHungry-StormHappening,isHungry-FoodStolenHappening,isHungry-FoodPoisoningHappening,isHungry-LooseFriendHappening,isHungry-HomesickHappening,isHungry-FireHappening,isHungry-ShipRescueHappening,foodIsPoisoned-EmptyHappening,foodIsPoisoned-StormHappening,foodIsPoisoned-FoodStolenHappening,foodIsPoisoned-FoodPoisoningHappening,foodIsPoisoned-LooseFriendHappening,foodIsPoisoned-HomesickHappening,foodIsPoisoned-FireHappening,foodIsPoisoned-ShipRescueHappening
1,0.28125,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.9206223497679413,0.8788781452399147,0.8502662105804283,0.6852986772114457,0.5396463074429761,0.8055348720233394,0.18206737241975424,0.20915387890351633,0.6634364237788114,0.5035213811780791,0.5829659388260855,0.0020998938263486187,0.6700451701001519,0.8479629892585004,0.34308929680030215,0.8629823157072792,0.2309807976795214,0.6473533277455066,0.9301994499620097,0.5789662983123927,0.55862644037815,0.2583504234338261,0.4417289353920416,0.7134629544195984,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.318176473747422,0.9530101111380179,0.5815194880230912,0.2218565069443098,0.738243328817361,0.2920111131488551,0.8829714288991086,0.0993697499076468,0.1339480493401745,0.497678279625072,0.8307729628496461,0.7812154366029378,0.31036289027778907,0.9401249139708027,0.9022336113890169,0.1603659256376857,0.5205463005262252,0.7064650116439184,0.2864933694625106,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.15335450052999677,0.12454182096033384,0.37521340411128734,0.018788679775855632,0.3616822786312599,0.14710594927781095,0.8058569745412938,0.3041416046883305,0.40238440610884363,0.0738533620692079,0.7694356889494702,0.6070104273740368,0.989191968484655,0.7224317966026266,0.06077034596454567,0.2916237356150164,0.6300879972304027,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24797814830322962,0.6234662845392334,0.8848445639672736,0.34698072438131256,0.8930580566138794,0.014573271228200247,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
2,0.2825311942959002,22,2,1,12,0,2,0,0,0,0,0,0,0,0,0,0.9206223497679413,0.8786454352047759,0.8482882392700131,0.6853438851648116,0.5396463074429761,0.8055348720233394,0.18206737241975424,0.20915387890351633,0.6634364237788114,0.5030119591804463,0.5804555367641824,0.0031601401744137834,0.6689010082040395,0.8448262504136423,0.34203372443361135,0.8642558442096541,0.2309807976795214,0.6473533277455066,0.9297498854987376,0.5800246206544257,0.5589392118428037,0.2583504234338261,0.4417289353920416,0.7187220272414744,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.318176473747422,0.9530101111380179,0.5815194880230912,0.2218565069443098,0.738243328817361,0.2913508012833315,0.8827500593291135,0.09778612548435657,0.1312436729367127,0.49713782657332617,0.8304553123899447,0.7812154366029378,0.31036289027778907,0.9386570009919056,0.9022336113890169,0.1589089922769194,0.5205463005262252,0.7064650116439184,0.28673722395413,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.15335450052999677,0.12454182096033384,0.37521340411128734,0.018788679775855632,0.3616822786312599,0.14710594927781095,0.8058569745412938,0.3041416046883305,0.40238440610884363,0.0738533620692079,0.7694356889494702,0.6066039662663201,0.9868508562176107,0.7224317966026266,0.05931341260377946,0.2916237356150164,0.6300879972304027,0.41131318470083955,0.016718604400015713,0.602347815652093,0.2471308282876764,0.6232449149692383,0.8847178729047497,0.34698072438131256,0.8930580566138794,0.014394308952600748,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
3,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9206223497679413,0.8783435708547415,0.8480262042439413,0.6852365556181326,0.5396463074429761,0.8055348720233394,0.18206737241975424,0.20915387890351633,0.6634364237788114,0.5027076779838797,0.5775663722728213,0.003048242787789086,0.6681979843509128,0.8453054482097125,0.3420245048957538,0.8600911725361262,0.2309807976795214,0.6473533277455066,0.9296157235653888,0.5799172911077467,0.5588257667983377,0.2588616090225525,0.4417289353920416,0.7176259771945203,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.318176473747422,0.9530101111380179,0.5815194880230912,0.2218565069443098,0.738243328817361,0.2885021523391961,0.8827481258518878,0.09714159394779574,0.13122005248072152,0.497133106169943,0.8272882315189014,0.7812154366029378,0.31036289027778907,0.9358961491623391,0.9022336113890169,0.15831941346825817,0.5205463005262252,0.7064650116439184,0.2836579401976556,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.15335450052999677,0.12454182096033384,0.37521340411128734,0.018788679775855632,0.3616822786312599,0.14710594927781095,0.8058569745412938,0.3041416046883305,0.40238440610884363,0.0738533620692079,0.7694356889494702,0.606433242791469,0.9863390690573146,0.7224317966026266,0.05872383379511828,0.2916237356150164,0.6300879972304027,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24657507894506048,0.6232429814920125,0.8846629201768499,0.34698072438131256,0.8930580566138794,0.014350346770281056,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
4,0.3125,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.9206223497679413,0.8784211665720062,0.8480935616374002,0.6852641452064933,0.5396463074429761,0.8055348720233394,0.18206737241975424,0.20915387890351633,0.6638048479442494,0.5038753291396455,0.5780101398136613,0.0033219869314285986,0.6683787000933693,0.8460895914734081,0.3425231031906893,0.857264220754773,0.23132199477323243,0.6485141474874556,0.9292809511684088,0.5801891883780901,0.5588549284055114,0.25964575228624776,0.442183494697085,0.714763569761814,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.318176473747422,0.9530101111380179,0.5815194880230912,0.2218565069443098,0.738243328817361,0.2889345823398828,0.8827486228617272,0.09730727395231918,0.13122612423521834,0.49713431957287135,0.8242558024109979,0.7812154366029378,0.31036289027778907,0.9366058397168957,0.9022336113890169,0.15847096760354096,0.5205463005262252,0.7064650116439184,0.28444792702241484,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.15335450052999677,0.12454182096033384,0.37521340411128734,0.018788679775855632,0.3616822786312599,0.14710594927781095,0.8058569745412938,0.3041416046883305,0.40238440610884363,0.0738533620692079,0.7694356889494702,0.606477128101157,0.9864706264664143,0.7224317966026266,0.058875387930401035,0.2916237356150164,0.6300879972304027,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24635947965875982,0.6232434785018519,0.8846770460460907,0.34698072438131256,0.8930580566138794,0.014488196867680483,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
5,0.09588206627680311,54,9,1,10,0,3,0,0,0,6,0,0,0,0,0,0.9206223497679413,0.8786840813889594,0.8493023742994628,0.687732230633315,0.5396463074429761,0.8049807618029524,0.18206737241975424,0.20915387890351633,0.664157076506714,0.5061395302756797,0.5797158660717499,0.006239714751514838,0.669092015443492,0.8454619780109267,0.3288546580167859,0.853132795032029,0.23123883745123172,0.6484078601644281,0.9289637311595562,0.5800060343763834,0.5595821222115958,0.25957922642864717,0.44153026784077853,0.7106722806530383,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.31762236352703516,0.9530101111380179,0.5815194880230912,0.22248139953841828,0.7385128267701724,0.2879900978137373,0.8844270345872834,0.0980134549979586,0.13066469049335247,0.48417908012018573,0.8198420878235096,0.7818536963394732,0.3105129389946166,0.9350755216223695,0.9039120558263328,0.15845810991631798,0.5199853791859618,0.6935098751350113,0.28440712426485687,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.1471786772522441,0.12454182096033384,0.3762662921332813,0.018788679775855632,0.3581706166534579,0.14710594927781095,0.8058569745412938,0.3035807751158474,0.3894292695999365,0.07387958094678518,0.7702408843621449,0.6088067335604898,0.9895742864193924,0.7255356191503725,0.05886253024317811,0.2910627709732813,0.6171328607214955,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24514756188558204,0.6232434363360801,0.8853971135179839,0.34698072438131256,0.8884223245677885,0.015170704375550327,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
6,0.28125,16,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0.9206223497679413,0.8786838919258533,0.8493021585255334,0.6877319094562759,0.5396463074429761,0.8049803603316537,0.18206737241975424,0.20915387890351633,0.6633260149077527,0.5061166606414775,0.575929138508232,0.006239393320013352,0.668149653270965,0.8436419813227974,0.3282406189074591,0.8473520415808766,0.23123883713315338,0.6484078597578772,0.9289637299461836,0.5800060336758157,0.5586398066325288,0.2577788234309046,0.4415302653421733,0.7116791596051324,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.3166219460478145,0.9530101111380179,0.5815194880230912,0.22162007988376775,0.7385126373322468,0.2847903814607544,0.8844267134082742,0.09707110200075546,0.13064521849146724,0.48356504373888437,0.8145580271116414,0.7810226621316944,0.31051283352102277,0.9329824564601876,0.9039117346492938,0.1584581098671371,0.5199659071842379,0.6928958387541038,0.28399221197775854,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.14691923250643496,0.12454182096033384,0.37543525818186135,0.018788679775855632,0.35607755159527404,0.14710594927781095,0.8058569745412938,0.3035615600557543,0.3888152332190291,0.07346466865968693,0.770231354490373,0.6087878453434741,0.9879928313584556,0.7255352979733334,0.05886253019399724,0.291043177731285,0.616518824340588,0.41131318470083955,0.016718604400015713,0.602347815652093,0.2448232283598391,0.623243436335919,0.8844547983454679,0.34698072438131256,0.8880457905634398,0.014432821202687558,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
7,0.28125,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.9206223497679413,0.8786838826563518,0.8493021479687726,0.6877318937426564,0.5396463074429761,0.8049803406896295,0.18206737241975424,0.20915387890351633,0.6632853551345893,0.50574722073501,0.5746468819623971,0.004175947480280725,0.6669296492685781,0.8434707914566026,0.3282105769816501,0.8355236325662325,0.2312388371175914,0.6484078597379869,0.928145522833947,0.578017644076077,0.5574198137079628,0.2576085921880025,0.4415302652199289,0.703560820058284,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.3165273731420077,0.9530101111380179,0.5815194880230912,0.22157793973215567,0.7385126280639772,0.28440931482977017,0.8826252544485702,0.0957393111590884,0.13064426582179672,0.4835350019465445,0.8061078507097139,0.7809820036986472,0.31051282836071653,0.9329016301746706,0.9039117189356742,0.15845810986473097,0.519964954514575,0.692865796961783,0.2839719123519581,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.14690653914588717,0.12454182096033384,0.37539459976135675,0.018788679775855632,0.3559967253097571,0.14710594927781095,0.8058569745412938,0.303560619956987,0.38878519142670837,0.07344436903388639,0.7702308882404283,0.6084833650386425,0.9876320643532721,0.7255352822597139,0.05886253019159108,0.2910422191299298,0.6164887825482672,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24399152215437792,0.6232434363359111,0.8831230167720706,0.34698072438131256,0.8880273685990215,0.014248106808796481,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
8,0.2,10,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0.9206223497679413,0.8786838821678818,0.8493021474124689,0.6877318929146042,0.5396463074429761,0.8049803396545645,0.18206737241975424,0.20915387890351633,0.663283212508298,0.5066581725992096,0.5779435070793428,0.003385554416027285,0.6664973850334852,0.844468321957475,0.32850013839762376,0.8256134975264577,0.23123883711677123,0.6484078597369388,0.9278567071195881,0.577255995950899,0.5569875502997718,0.2586013308259821,0.4415302652134871,0.6936893666701089,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.3175250929670262,0.9530101111380179,0.5815194880230912,0.22157571909515428,0.7385126275755723,0.2843892339655975,0.8819352148617604,0.09538133281235105,0.13064421561947337,0.4835464457211368,0.8017335201448402,0.7809798611429758,0.31051282808878655,0.9328973709151891,0.903911718107622,0.15845810986460415,0.5199649043122518,0.6928642138655419,0.2839708426334487,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.1469190344499731,0.12454182096033384,0.3753924572063461,0.018788679775855632,0.35599246605027585,0.14710594927781095,0.8058569745412938,0.3035605704171059,0.38878360833046727,0.07344329931537706,0.7702308636707046,0.6093509901550594,0.9912342273482198,0.7255352814316617,0.058862530191464285,0.29104216861502763,0.6167783439712752,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24701726208752556,0.6232434363359107,0.8827650389137383,0.34698072438131256,0.8883175423458771,0.014238373013305454,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
9,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9206223497679413,0.8786838821683934,0.8493021474130515,0.6877318929154715,0.5396463074429761,0.8049803396556485,0.18206737241975424,0.20915387890351633,0.6632832147523474,0.5066637454993028,0.5779749047487555,0.0033863822230479706,0.6664978377593311,0.8444725586771159,0.3285476200892557,0.8256168800385166,0.23123883711677207,0.6484078597369399,0.9278570096066504,0.5772567936523135,0.5569880030247517,0.25860554715590384,0.44153026521349387,0.6936927491292606,0.9846287511756424,0.25905216871743,0.6093699631026317,0.5383810201624311,0.17097055808225659,0.31752930929694684,0.9530101111380179,0.5815194880230912,0.2215757214209071,0.7385126275760839,0.28438925499700723,0.8819359375649828,0.09538170773592021,0.1306442156720521,0.48356255077476573,0.8017381015382204,0.7809798633869512,0.3105128280890713,0.9328973753760643,0.9039117181084894,0.15845810986460426,0.5199649043648304,0.6928642155235754,0.28397084375380327,0.8035012416905002,0.25246942351298496,0.8398799655776038,0.209721187378332,0.44692213907836187,0.22390689314835033,0.1469351184721923,0.12454182096033384,0.3753924594503209,0.018788679775855632,0.3559924705111512,0.14710594927781095,0.8058569745412938,0.3035605704689908,0.38878360998850076,0.07344330043573165,0.7702308636964373,0.6093562804785154,0.991265625017625,0.725535281432529,0.058862530191464424,0.29104216866793375,0.6168258256628997,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24704865911562218,0.6232434363359107,0.882765413836796,0.34698072438131256,0.8883650233961928,0.014238383207858784,0.3439283771657978,0.8680493790687106,0.02382986434821599,0.6105349229047728,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
10,0.4771301552738678,167,78,1,159,0,74,0,0,0,4,0,0,0,0,0,0.9146882571058274,0.8821931560837903,0.8381412249204608,0.6871020195162283,0.5400593085221687,0.8028039328865809,0.18090686773763126,0.20683072239009775,0.6575652591056493,0.5103268158673924,0.5631021823605056,0.0026870249396137857,0.6668791154128548,0.8426076932964255,0.3244269076167656,0.8233171002850962,0.2312388371167121,0.6484078597368633,0.9278305195579972,0.5772011068911604,0.5569563987335165,0.2583112092582319,0.44153026521302297,0.6938579978921063,0.9846287511756424,0.25905216871743,0.6093699631026317,0.537624005255351,0.17097055808225659,0.3172349713993514,0.9530101111380179,0.582058817534425,0.21590124992627294,0.7373846497478364,0.2765087563420068,0.8826889092563341,0.09466135394523649,0.13104890809129485,0.48243827261935146,0.8008986096187058,0.7748592749083446,0.3112371055169776,0.9230660362204705,0.9040064093159978,0.15887210120986858,0.5176151325293907,0.6917035950958037,0.28174509194112896,0.8035012416905002,0.25246942351298496,0.8384563480834218,0.209721187378332,0.44692213907836187,0.22390689314835033,0.1458123084990655,0.12454182096033384,0.3753923028006223,0.018788679775855632,0.35599215910177795,0.14710594927781095,0.8058569745412938,0.3035605668469567,0.3887834942427918,0.07344322222486613,0.7702308619000586,0.6091056680915147,0.9876842864781773,0.7255352813719874,0.05886253019145516,0.29104216497461244,0.6136675827571224,0.41131318470083955,0.016718604400015713,0.602347815652093,0.24198955840823602,0.6232434363359107,0.8827392408222029,0.34698072438131256,0.8852068832755031,0.014006857467786557,0.3439283771657978,0.8680493790687106,0.023699836996592127,0.6115052420522901,0.3523862879911752,0.17411683613095674,0.975952509853735,0.04667056221480337
